Season|PlayerTeam|GP|W|L|Min|DistFeet|DistMiles|DistMilesOff|DistMilesDef|AvgSpeed|AvgSpeedOff|AvgSpeedDef
2020-21|De'Andre Hunter|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|De'Anthony Melton|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|DeAndre Jordan|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|DeAndre' Bembry|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|DeMar DeRozan|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|DeMarcus Cousins|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Dean Wade|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Deandre Ayton|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Deividas Sirvydis|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Dejounte Murray|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Delon Wright|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Deni Avdija|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Dennis Schroder|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Dennis Smith|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Denzel Valentine|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Derrick Favors|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Derrick Jones|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Derrick Rose|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Derrick White|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Desmond Bane|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Devin Booker|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Devin Vassell|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Devon Dotson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Devontae Cacok|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Devonte' Graham|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Dillon Brooks|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Domantas Sabonis|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Donovan Mitchell|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Donte DiVincenzo|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Dorian Finney-Smith|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Doug McDermott|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Draymond Green|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Drew Eubanks|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Duncan Robinson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Dwayne Bacon|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Dwight Howard|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Dwight Powell|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Dylan Windler|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|E'Twaun Moore|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Ed Davis|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Edmond Sumner|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Elfrid Payton|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Elijah Hughes|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Enes Kanter|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Eric Bledsoe|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Eric Gordon|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Eric Paschall|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Ersan Ilyasova|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Evan Fournier|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Facundo Campazzo|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Frank Jackson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Frank Kaminsky|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Frank Mason|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Frank Ntilikina|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Fred VanVleet|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Furkan Korkmaz|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Gabe Vincent|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Garrett Temple|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Garrison Mathews|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Gary Clark|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Gary Harris|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Gary Trent|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|George Hill|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Georges Niang|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Giannis Antetokounmpo|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Glenn Robinson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Goga Bitadze|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Goran Dragic|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Gordon Hayward|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Gorgui Dieng|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Grant Williams|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Grayson Allen|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Greg Whittington|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Hamidou Diallo|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Harrison Barnes|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Harry Giles|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Hassan Whiteside|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Henry Ellenson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Ignas Brazdeikis|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Iman Shumpert|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Immanuel Quickley|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Isaac Bonga|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Isaac Okoro|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Isaiah Hartenstein|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Isaiah Joe|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Isaiah Roby|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Isaiah Stewart|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Ish Smith|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Ivica Zubac|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|JJ Redick|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Ja Morant|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|JaKarr Sampson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|JaMychal Green|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|JaVale McGee|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jabari Parker|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jaden McDaniels|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jae Crowder|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jae'Sean Tate|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jahlil Okafor|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jahmi'us Ramsey|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jake Layman|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jakob Poeltl|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jalen Brunson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jalen Harris|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jalen Lecque|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jalen McDaniels|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jalen Smith|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jamal Murray|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|James Ennis|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|James Harden|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|James Johnson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|James Wiseman|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jared Dudley|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jared Harper|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jarred Vanderbilt|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jarrell Brantley|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jarrett Allen|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jarrett Culver|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Javonte Green|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jaxson Hayes|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jaylen Adams|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jaylen Brown|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jaylen Nowell|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jayson Tatum|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jeff Green|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Jeff Teague|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
