Season|PlayerTeam|GP|W|L|Min|DistFeet|DistMiles|DistMilesOff|DistMilesDef|AvgSpeed|AvgSpeedOff|AvgSpeedDef|injuryCntYear
2020-21|Collin Sexton|38.0|14.0|24.0|35.9|13774.4|2.61|1.47|1.14|4.08|4.51|3.65|0
2020-21|Cory Joseph|45.0|19.0|26.0|21.4|8614.6|1.63|0.86|0.77|4.4|4.68|4.13|0
2020-21|Cristiano Felicio|7.0|1.0|6.0|5.7|2249.3|0.43|0.23|0.2|4.24|4.53|3.94|0
2020-21|D'Angelo Russell|20.0|5.0|15.0|29.1|11004.4|2.08|1.16|0.92|4.02|4.45|3.59|3
2020-21|D.J. Augustin|41.0|25.0|16.0|19.4|7523.2|1.42|0.79|0.63|4.14|4.6|3.69|0
2020-21|D.J. Wilson|17.0|10.0|7.0|9.8|4003.7|0.76|0.4|0.35|4.3|4.65|3.96|2
2020-21|DaQuan Jeffries|16.0|4.0|12.0|14.2|5631.7|1.07|0.55|0.51|4.32|4.72|3.91|0
2020-21|Dakota Mathias|8.0|4.0|4.0|15.4|6411.4|1.21|0.69|0.52|4.44|4.88|3.97|0
2020-21|Damian Jones|22.0|16.0|6.0|9.3|3666.3|0.69|0.37|0.33|4.32|4.4|4.18|0
2020-21|Damian Lillard|43.0|25.0|18.0|36.1|13032.0|2.47|1.41|1.06|3.95|4.35|3.51|3
2020-21|Damion Lee|45.0|21.0|24.0|18.8|8053.0|1.53|0.83|0.69|4.58|5.12|4.08|0
2020-21|Damyean Dotson|33.0|13.0|20.0|18.8|7111.5|1.35|0.74|0.61|4.17|4.48|3.84|1
2020-21|Daniel Gafford|31.0|14.0|17.0|12.4|4968.7|0.94|0.5|0.44|4.29|4.65|3.94|2
2020-21|Daniel Oturu|14.0|10.0|4.0|4.8|1816.1|0.34|0.18|0.16|3.94|4.03|3.85|0
2020-21|Daniel Theis|42.0|20.0|22.0|24.4|9558.6|1.81|0.98|0.83|4.17|4.47|3.88|4
2020-21|Danilo Gallinari|33.0|17.0|16.0|23.4|8591.9|1.63|0.91|0.72|3.89|4.22|3.53|5
2020-21|Danny Green|45.0|32.0|13.0|28.7|12098.1|2.29|1.19|1.1|4.51|4.7|4.33|3
2020-21|Dante Exum|6.0|3.0|3.0|19.4|6972.7|1.32|0.72|0.6|4.44|4.63|4.24|2
2020-21|Danuel House|27.0|8.0|19.0|28.0|11328.0|2.15|1.15|0.99|4.31|4.62|4.02|1
2020-21|Dario Saric|26.0|18.0|8.0|18.6|7196.9|1.36|0.74|0.62|4.1|4.43|3.79|2
2020-21|Darius Bazley|36.0|15.0|21.0|30.7|11977.7|2.27|1.25|1.02|4.2|4.53|3.84|2
2020-21|Darius Garland|36.0|14.0|22.0|33.1|13676.6|2.59|1.43|1.16|4.38|4.76|4.0|1
2020-21|Darius Miller|14.0|4.0|10.0|10.3|3832.1|0.73|0.38|0.35|3.96|4.32|3.64|0
2020-21|David Nwaba|30.0|8.0|22.0|22.6|8950.2|1.7|0.87|0.82|4.33|4.56|4.1|0
2020-21|Davis Bertans|35.0|14.0|21.0|24.7|9638.7|1.83|1.0|0.83|4.24|4.87|3.65|1
2020-21|De'Aaron Fox|44.0|20.0|24.0|34.7|13221.6|2.5|1.36|1.14|4.14|4.55|3.74|2
2020-21|De'Andre Hunter|20.0|9.0|11.0|31.2|12162.9|2.3|1.26|1.05|4.16|4.5|3.8|3
2020-21|De'Anthony Melton|30.0|15.0|15.0|19.6|7857.6|1.49|0.79|0.69|4.36|4.69|4.05|2
2020-21|DeAndre Jordan|44.0|29.0|15.0|22.7|7690.0|1.46|0.78|0.67|3.67|4.0|3.35|2
2020-21|DeAndre' Bembry|32.0|16.0|16.0|17.1|7023.5|1.33|0.71|0.62|4.33|4.62|4.04|0
2020-21|DeMar DeRozan|35.0|18.0|17.0|33.9|12522.4|2.37|1.31|1.06|4.07|4.42|3.71|2
2020-21|DeMarcus Cousins|25.0|11.0|14.0|20.2|6612.2|1.25|0.66|0.59|3.69|3.81|3.6|0
2020-21|Dean Wade|37.0|14.0|23.0|13.3|5348.4|1.01|0.55|0.46|4.31|4.62|3.98|2
2020-21|Deandre Ayton|44.0|30.0|14.0|30.5|11022.8|2.09|1.13|0.96|3.95|4.25|3.64|2
2020-21|Deividas Sirvydis|7.0|4.0|3.0|1.7|719.4|0.14|0.07|0.06|4.51|4.79|4.26|0
2020-21|Dejounte Murray|41.0|22.0|19.0|31.4|12591.3|2.38|1.29|1.1|4.41|4.75|4.07|3
2020-21|Delon Wright|36.0|10.0|26.0|29.2|11768.9|2.23|1.25|0.98|4.37|4.62|4.1|0
2020-21|Deni Avdija|39.0|15.0|24.0|21.7|8617.6|1.63|0.85|0.78|4.37|4.69|4.05|0
2020-21|Dennis Schroder|42.0|29.0|13.0|31.6|12901.2|2.44|1.3|1.15|4.34|4.6|4.08|0
2020-21|Dennis Smith|19.0|6.0|13.0|18.4|7255.4|1.37|0.73|0.64|4.2|4.42|3.97|0
2020-21|Denzel Valentine|39.0|17.0|22.0|18.4|7422.4|1.41|0.76|0.65|4.28|4.59|3.98|2
2020-21|Derrick Favors|42.0|31.0|11.0|15.9|6224.7|1.18|0.63|0.55|4.22|4.42|4.02|2
2020-21|Derrick Jones|41.0|24.0|17.0|26.3|10334.5|1.96|1.04|0.91|4.33|4.52|4.14|0
2020-21|Derrick Rose|25.0|11.0|14.0|23.5|9082.5|1.72|0.95|0.77|4.2|4.55|3.83|4
2020-21|Derrick White|18.0|9.0|9.0|27.3|10113.1|1.92|1.03|0.89|4.18|4.52|3.84|0
2020-21|Desmond Bane|38.0|19.0|19.0|22.3|8912.8|1.69|0.92|0.76|4.39|4.71|4.06|0
2020-21|Devin Booker|40.0|28.0|12.0|33.8|12963.6|2.46|1.38|1.08|4.17|4.69|3.66|0
2020-21|Devin Vassell|35.0|20.0|15.0|17.5|7568.4|1.43|0.77|0.67|4.58|4.87|4.29|0
2020-21|Devon Dotson|1.0|0.0|1.0|9.5|4205.0|0.8|0.46|0.33|4.73|5.72|3.67|0
2020-21|Devontae Cacok|9.0|4.0|5.0|5.0|1972.8|0.37|0.19|0.18|4.4|4.33|4.19|0
2020-21|Devonte' Graham|34.0|17.0|17.0|30.0|11804.3|2.24|1.22|1.02|4.19|4.61|3.77|1
2020-21|Dillon Brooks|39.0|20.0|19.0|29.3|11290.5|2.14|1.08|1.05|4.23|4.34|4.11|0
2020-21|Domantas Sabonis|44.0|21.0|23.0|36.1|14293.2|2.71|1.44|1.27|4.21|4.56|3.87|0
2020-21|Donovan Mitchell|42.0|31.0|11.0|33.9|12591.4|2.38|1.33|1.05|4.0|4.49|3.51|4
2020-21|Donte DiVincenzo|44.0|29.0|15.0|27.3|11354.9|2.15|1.14|1.01|4.45|4.96|4.0|2
2020-21|Dorian Finney-Smith|32.0|18.0|14.0|31.2|11971.7|2.27|1.21|1.06|4.23|4.38|4.05|3
2020-21|Doug McDermott|43.0|21.0|22.0|25.0|11001.1|2.08|1.15|0.94|4.65|5.23|4.1|2
2020-21|Draymond Green|39.0|19.0|20.0|29.9|10659.4|2.02|1.06|0.96|3.8|4.23|3.42|8
2020-21|Drew Eubanks|25.0|10.0|15.0|12.8|5175.9|0.98|0.52|0.46|4.32|4.68|4.01|0
2020-21|Duncan Robinson|46.0|22.0|24.0|32.7|13136.3|2.49|1.37|1.12|4.27|4.76|3.79|0
2020-21|Dwayne Bacon|45.0|15.0|30.0|25.1|9495.9|1.8|0.97|0.83|4.06|4.26|3.85|0
2020-21|Dwight Howard|45.0|32.0|13.0|17.1|6394.9|1.21|0.66|0.55|3.98|4.23|3.71|2
2020-21|Dwight Powell|30.0|18.0|12.0|14.5|5778.7|1.09|0.6|0.5|4.21|4.51|3.9|2
2020-21|Dylan Windler|31.0|11.0|20.0|16.5|7135.7|1.35|0.73|0.62|4.58|4.92|4.22|0
2020-21|E'Twaun Moore|24.0|18.0|6.0|14.5|6056.6|1.15|0.63|0.52|4.43|4.8|4.06|1
2020-21|Ed Davis|19.0|4.0|15.0|13.9|5481.7|1.04|0.58|0.46|4.19|4.5|3.9|2
2020-21|Edmond Sumner|31.0|13.0|18.0|12.1|5177.8|0.98|0.51|0.47|4.5|4.92|4.12|3
2020-21|Elfrid Payton|36.0|18.0|18.0|27.7|10827.7|2.05|1.11|0.94|4.29|4.54|4.03|1
2020-21|Elijah Hughes|8.0|6.0|2.0|4.0|1591.8|0.3|0.17|0.14|4.12|4.29|3.93|0
2020-21|Enes Kanter|45.0|27.0|18.0|26.8|9675.8|1.83|0.98|0.86|4.0|4.07|3.92|2
2020-21|Eric Bledsoe|43.0|19.0|24.0|29.3|11191.9|2.12|1.15|0.97|4.09|4.43|3.74|4
2020-21|Eric Gordon|27.0|10.0|17.0|29.2|9756.9|1.85|1.0|0.85|3.68|4.02|3.35|7
2020-21|Eric Paschall|38.0|19.0|19.0|17.2|6822.2|1.29|0.68|0.61|4.3|4.73|3.9|0
2020-21|Ersan Ilyasova|2.0|2.0|0.0|3.2|1236.0|0.23|0.13|0.1|4.79|5.34|4.14|2
2020-21|Evan Fournier|26.0|12.0|14.0|30.3|12119.5|2.3|1.26|1.03|4.31|4.68|3.93|3
2020-21|Facundo Campazzo|39.0|24.0|15.0|17.6|7224.2|1.37|0.73|0.64|4.39|4.65|4.11|0
2020-21|Frank Jackson|15.0|5.0|10.0|12.3|5064.0|0.96|0.52|0.44|4.39|4.74|4.03|0
2020-21|Frank Kaminsky|32.0|23.0|9.0|15.1|5834.8|1.11|0.61|0.49|4.23|4.66|3.8|1
2020-21|Frank Mason|4.0|1.0|3.0|19.8|7653.0|1.45|0.8|0.65|4.13|4.55|3.71|2
2020-21|Frank Ntilikina|17.0|10.0|7.0|14.7|5887.3|1.12|0.59|0.53|4.27|4.44|4.05|4
2020-21|Fred VanVleet|40.0|18.0|22.0|36.8|14742.5|2.79|1.54|1.25|4.24|4.77|3.72|6
2020-21|Furkan Korkmaz|34.0|25.0|9.0|19.5|8088.3|1.53|0.85|0.68|4.4|4.78|4.0|0
2020-21|Gabe Vincent|31.0|15.0|16.0|14.9|6066.7|1.15|0.6|0.55|4.35|4.72|4.0|9
2020-21|Garrett Temple|35.0|16.0|19.0|27.9|11123.7|2.11|1.12|0.98|4.23|4.51|3.96|5
2020-21|Garrison Mathews|37.0|14.0|23.0|18.0|7237.9|1.37|0.69|0.69|4.39|4.6|4.2|1
2020-21|Gary Clark|35.0|8.0|27.0|18.2|7338.9|1.39|0.76|0.63|4.3|4.56|4.03|0
2020-21|Gary Harris|19.0|11.0|8.0|30.6|11448.1|2.17|1.1|1.07|4.11|4.17|4.05|2
2020-21|Gary Trent|42.0|24.0|18.0|30.8|11281.2|2.14|1.11|1.02|4.02|4.05|4.0|0
2020-21|George Hill|14.0|6.0|8.0|26.3|10114.7|1.92|1.06|0.85|4.11|4.45|3.75|6
2020-21|Georges Niang|44.0|33.0|11.0|13.6|5625.3|1.07|0.59|0.48|4.43|4.94|3.92|0
2020-21|Giannis Antetokounmpo|42.0|27.0|15.0|34.0|12799.9|2.42|1.31|1.11|4.03|4.62|3.51|5
2020-21|Glenn Robinson|23.0|9.0|14.0|16.1|6950.6|1.32|0.7|0.62|4.58|4.91|4.26|0
2020-21|Goga Bitadze|25.0|10.0|15.0|9.6|3858.0|0.73|0.38|0.35|4.19|4.46|3.9|2
2020-21|Goran Dragic|28.0|15.0|13.0|27.1|10808.0|2.05|1.13|0.91|4.25|4.77|3.76|4
2020-21|Gordon Hayward|40.0|22.0|18.0|34.2|14046.5|2.66|1.47|1.19|4.4|4.91|3.89|3
2020-21|Gorgui Dieng|22.0|9.0|13.0|16.9|6479.0|1.23|0.66|0.56|4.07|4.29|3.85|0
2020-21|Grant Williams|37.0|16.0|21.0|18.6|7408.7|1.4|0.74|0.66|4.21|4.43|3.99|0
2020-21|Grayson Allen|30.0|15.0|15.0|24.8|10156.8|1.92|1.04|0.88|4.36|4.64|4.08|2
2020-21|Greg Whittington|4.0|3.0|1.0|3.0|1271.8|0.24|0.15|0.1|4.56|5.13|3.91|0
2020-21|Hamidou Diallo|33.0|13.0|20.0|23.6|9571.3|1.81|0.98|0.84|4.31|4.63|4.0|0
2020-21|Harrison Barnes|42.0|20.0|22.0|36.0|14388.9|2.73|1.48|1.25|4.35|4.76|3.95|0
2020-21|Harry Giles|23.0|13.0|10.0|11.8|4695.8|0.89|0.47|0.42|4.25|4.37|4.08|0
2020-21|Hassan Whiteside|28.0|14.0|14.0|14.9|5587.5|1.06|0.56|0.5|3.97|4.21|3.76|3
2020-21|Henry Ellenson|2.0|0.0|2.0|19.2|8101.5|1.53|0.81|0.73|4.52|4.6|4.44|0
2020-21|Ignas Brazdeikis|4.0|2.0|2.0|1.8|837.3|0.16|0.09|0.07|4.38|5.61|4.56|0
2020-21|Iman Shumpert|2.0|1.0|1.0|5.5|2187.5|0.41|0.22|0.2|4.12|4.06|4.18|0
2020-21|Immanuel Quickley|40.0|20.0|20.0|20.0|8233.7|1.56|0.87|0.69|4.41|4.74|4.06|0
2020-21|Isaac Bonga|28.0|7.0|21.0|12.2|4926.4|0.93|0.47|0.46|4.33|4.58|4.11|1
2020-21|Isaac Okoro|40.0|15.0|25.0|32.1|12653.3|2.4|1.24|1.16|4.21|4.31|4.11|0
2020-21|Isaiah Hartenstein|30.0|16.0|14.0|9.1|3763.1|0.71|0.38|0.33|4.37|4.66|4.05|0
2020-21|Isaiah Joe|22.0|12.0|10.0|11.5|4825.9|0.91|0.5|0.41|4.44|4.81|4.06|0
2020-21|Isaiah Roby|38.0|16.0|22.0|22.9|9287.2|1.76|0.97|0.78|4.32|4.79|3.86|2
2020-21|Isaiah Stewart|42.0|12.0|30.0|18.8|7596.2|1.44|0.76|0.67|4.39|4.65|4.12|0
2020-21|Ish Smith|19.0|6.0|13.0|20.6|8892.8|1.68|0.92|0.76|4.58|5.29|3.94|2
2020-21|Ivica Zubac|46.0|30.0|16.0|20.9|8269.8|1.57|0.85|0.72|4.19|4.5|3.88|0
2020-21|JJ Redick|31.0|14.0|17.0|18.6|7902.2|1.5|0.82|0.68|4.49|4.96|4.02|0
2020-21|Ja Morant|34.0|17.0|17.0|31.7|12303.6|2.33|1.29|1.04|4.25|4.69|3.82|0
2020-21|JaKarr Sampson|16.0|8.0|8.0|6.2|2652.1|0.5|0.26|0.24|4.46|4.84|4.1|1
2020-21|JaMychal Green|33.0|20.0|13.0|19.3|7343.8|1.39|0.75|0.64|4.09|4.3|3.86|0
2020-21|JaVale McGee|33.0|13.0|20.0|15.2|5741.1|1.09|0.59|0.5|3.99|4.18|3.8|2
2020-21|Jabari Parker|3.0|0.0|3.0|9.1|3847.7|0.73|0.41|0.32|4.48|4.76|4.18|3
2020-21|Jaden McDaniels|38.0|7.0|31.0|20.4|8753.7|1.66|0.9|0.76|4.55|4.93|4.16|0
2020-21|Jae Crowder|41.0|27.0|14.0|27.7|10675.7|2.02|1.13|0.89|4.15|4.63|3.66|4
2020-21|Jae'Sean Tate|44.0|12.0|32.0|28.4|10878.6|2.06|1.1|0.96|4.18|4.49|3.87|0
